epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727343608099,2024-09-26T12.40.08.099,0.000,-0.091,0.119,0.968
1727343608119,2024-09-26T12.40.08.119,0.020,-0.061,0.117,0.971
1727343608139,2024-09-26T12.40.08.139,0.040,-0.061,0.105,0.961
1727343608159,2024-09-26T12.40.08.159,0.060,-0.054,0.097,0.958
1727343608179,2024-09-26T12.40.08.179,0.080,-0.067,0.108,0.963
1727343608199,2024-09-26T12.40.08.199,0.100,-0.067,0.107,0.961
1727343608219,2024-09-26T12.40.08.219,0.120,-0.070,0.100,0.956
1727343608239,2024-09-26T12.40.08.239,0.140,-0.068,0.113,0.988
1727343608259,2024-09-26T12.40.08.259,0.160,-0.099,0.110,1.025
1727343608279,2024-09-26T12.40.08.279,0.180,-0.172,0.103,1.076
1727343608299,2024-09-26T12.40.08.299,0.200,-0.254,0.096,1.128
1727343608319,2024-09-26T12.40.08.319,0.220,-0.285,0.092,1.136
1727343608339,2024-09-26T12.40.08.339,0.240,-0.282,0.096,1.143
1727343608359,2024-09-26T12.40.08.359,0.260,-0.292,0.091,1.137
1727343608379,2024-09-26T12.40.08.379,0.280,-0.349,0.081,1.124
1727343608399,2024-09-26T12.40.08.399,0.300,-0.413,0.078,1.096
1727343608419,2024-09-26T12.40.08.419,0.320,-0.453,0.090,1.038
1727343608439,2024-09-26T12.40.08.439,0.340,-0.435,0.100,0.978
1727343608459,2024-09-26T12.40.08.459,0.360,-0.385,0.086,0.910
1727343608479,2024-09-26T12.40.08.479,0.380,-0.350,0.068,0.845
1727343608499,2024-09-26T12.40.08.499,0.400,-0.326,0.057,0.774
1727343608519,2024-09-26T12.40.08.519,0.420,-0.278,0.040,0.691
1727343608539,2024-09-26T12.40.08.539,0.440,-0.224,0.028,0.595
1727343608559,2024-09-26T12.40.08.559,0.460,-0.134,0.009,0.494
1727343608579,2024-09-26T12.40.08.579,0.480,-0.083,-0.015,0.380
1727343608599,2024-09-26T12.40.08.599,0.500,-0.076,-0.026,0.287
1727343608619,2024-09-26T12.40.08.619,0.520,-0.043,-0.051,0.221
1727343608639,2024-09-26T12.40.08.639,0.540,0.035,-0.068,0.194
1727343608659,2024-09-26T12.40.08.659,0.560,0.088,-0.073,0.278
1727343608679,2024-09-26T12.40.08.679,0.580,0.139,-0.095,0.394
1727343608699,2024-09-26T12.40.08.699,0.600,0.197,-0.123,0.514
1727343608719,2024-09-26T12.40.08.719,0.620,0.205,-0.159,0.633
1727343608739,2024-09-26T12.40.08.739,0.640,0.225,-0.248,0.792
1727343608759,2024-09-26T12.40.08.759,0.660,0.192,-0.281,0.922
1727343608779,2024-09-26T12.40.08.779,0.680,0.178,-0.274,0.962
1727343608799,2024-09-26T12.40.08.799,0.700,0.340,-0.298,0.899
1727343608819,2024-09-26T12.40.08.819,0.720,0.577,-0.336,0.917
1727343608839,2024-09-26T12.40.08.839,0.740,0.658,-0.294,1.010
1727343608859,2024-09-26T12.40.08.859,0.760,0.624,-0.329,1.130
1727343608879,2024-09-26T12.40.08.879,0.780,0.561,-0.433,1.218
1727343608899,2024-09-26T12.40.08.899,0.800,0.497,-0.472,1.247
1727343608919,2024-09-26T12.40.08.919,0.820,0.678,-0.461,1.299
1727343608939,2024-09-26T12.40.08.939,0.840,0.812,-0.487,1.331
1727343608959,2024-09-26T12.40.08.959,0.860,0.696,-0.486,1.364
1727343608979,2024-09-26T12.40.08.979,0.880,0.390,-0.467,1.435
1727343608999,2024-09-26T12.40.08.999,0.900,0.323,-0.507,1.457
1727343609019,2024-09-26T12.40.09.019,0.920,0.445,-0.536,1.494
1727343609039,2024-09-26T12.40.09.039,0.940,0.383,-0.554,1.557
1727343609059,2024-09-26T12.40.09.059,0.960,0.198,-0.574,1.559
1727343609079,2024-09-26T12.40.09.079,0.980,0.066,-0.568,1.561
1727343609099,2024-09-26T12.40.09.099,1.000,0.025,-0.567,1.587
1727343609119,2024-09-26T12.40.09.119,1.020,-0.017,-0.575,1.605
1727343609139,2024-09-26T12.40.09.139,1.040,-0.094,-0.586,1.587
1727343609159,2024-09-26T12.40.09.159,1.060,-0.166,-0.589,1.479
1727343609179,2024-09-26T12.40.09.179,1.080,-0.224,-0.570,1.384
1727343609199,2024-09-26T12.40.09.199,1.100,-0.212,-0.549,1.365
1727343609219,2024-09-26T12.40.09.219,1.120,-0.212,-0.530,1.313
1727343609239,2024-09-26T12.40.09.239,1.140,-0.261,-0.503,1.231
1727343609259,2024-09-26T12.40.09.259,1.160,-0.283,-0.484,1.117
1727343609279,2024-09-26T12.40.09.279,1.180,-0.272,-0.460,1.065
