epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727343608193,2024-09-26T12.40.08.193,0.000,-96.220,-0.732,51.768
1727343608213,2024-09-26T12.40.08.213,0.020,-97.317,-0.732,51.280
1727343608233,2024-09-26T12.40.08.233,0.040,-99.573,-1.463,45.488
1727343608253,2024-09-26T12.40.08.253,0.060,-100.976,-1.646,40.305
1727343608273,2024-09-26T12.40.08.273,0.080,-105.854,-16.707,46.890
1727343608293,2024-09-26T12.40.08.293,0.100,-117.683,-59.207,60.854
1727343608313,2024-09-26T12.40.08.313,0.120,-127.378,-109.817,72.073
1727343608333,2024-09-26T12.40.08.333,0.140,-126.707,-103.537,65.427
1727343608353,2024-09-26T12.40.08.353,0.160,-127.866,-51.890,42.988
1727343608373,2024-09-26T12.40.08.373,0.180,-135.366,-14.878,19.634
1727343608393,2024-09-26T12.40.08.393,0.200,-133.476,5.549,1.098
1727343608413,2024-09-26T12.40.08.413,0.220,-123.049,-2.378,-12.805
1727343608433,2024-09-26T12.40.08.433,0.240,-109.939,-24.817,-28.293
1727343608453,2024-09-26T12.40.08.453,0.260,-98.171,-10.610,-44.451
1727343608473,2024-09-26T12.40.08.473,0.280,-91.646,27.012,-69.207
1727343608493,2024-09-26T12.40.08.493,0.300,-83.415,37.683,-94.512
1727343608513,2024-09-26T12.40.08.513,0.320,-66.098,5.854,-97.927
1727343608533,2024-09-26T12.40.08.533,0.340,-51.768,-12.378,-94.634
1727343608553,2024-09-26T12.40.08.553,0.360,-44.695,3.537,-105.305
1727343608573,2024-09-26T12.40.08.573,0.380,-32.256,16.890,-114.634
1727343608593,2024-09-26T12.40.08.593,0.400,-11.768,14.695,-116.646
1727343608613,2024-09-26T12.40.08.613,0.420,6.220,8.049,-114.817
1727343608633,2024-09-26T12.40.08.633,0.440,19.146,8.415,-110.549
1727343608653,2024-09-26T12.40.08.653,0.460,32.256,14.573,-105.000
1727343608673,2024-09-26T12.40.08.673,0.480,45.488,16.402,-97.256
1727343608693,2024-09-26T12.40.08.693,0.500,58.902,13.476,-90.976
1727343608713,2024-09-26T12.40.08.713,0.520,68.963,12.927,-86.585
1727343608733,2024-09-26T12.40.08.733,0.540,74.634,17.256,-77.622
1727343608753,2024-09-26T12.40.08.753,0.560,78.293,21.524,-66.463
1727343608773,2024-09-26T12.40.08.773,0.580,84.207,20.793,-55.183
1727343608793,2024-09-26T12.40.08.793,0.600,91.951,19.146,-47.805
1727343608813,2024-09-26T12.40.08.813,0.620,98.049,26.280,-40.488
1727343608833,2024-09-26T12.40.08.833,0.640,101.463,37.378,-30.000
1727343608853,2024-09-26T12.40.08.853,0.660,100.366,40.915,-22.317
1727343608873,2024-09-26T12.40.08.873,0.680,99.390,44.146,-12.805
1727343608893,2024-09-26T12.40.08.893,0.700,98.110,40.671,-3.720
1727343608913,2024-09-26T12.40.08.913,0.720,95.610,37.866,4.024
1727343608933,2024-09-26T12.40.08.933,0.740,92.378,47.561,12.073
1727343608953,2024-09-26T12.40.08.953,0.760,85.854,58.780,17.195
1727343608973,2024-09-26T12.40.08.973,0.780,75.915,61.341,20.366
1727343608993,2024-09-26T12.40.08.993,0.800,66.707,50.915,27.256
1727343609013,2024-09-26T12.40.09.013,0.820,62.073,42.134,37.744
1727343609033,2024-09-26T12.40.09.033,0.840,53.293,41.098,42.927
1727343609053,2024-09-26T12.40.09.053,0.860,41.402,40.793,43.415
1727343609073,2024-09-26T12.40.09.073,0.880,32.988,36.220,42.744
1727343609093,2024-09-26T12.40.09.093,0.900,24.634,27.195,43.659
1727343609113,2024-09-26T12.40.09.113,0.920,16.951,28.476,41.524
1727343609133,2024-09-26T12.40.09.133,0.940,8.415,33.598,36.890
1727343609153,2024-09-26T12.40.09.153,0.960,0.488,30.854,31.951
1727343609173,2024-09-26T12.40.09.173,0.980,-6.159,21.890,27.622
1727343609193,2024-09-26T12.40.09.193,1.000,-11.159,15.305,21.890
1727343609213,2024-09-26T12.40.09.213,1.020,-13.354,21.890,13.232
1727343609233,2024-09-26T12.40.09.233,1.040,-12.805,30.488,6.707
1727343609253,2024-09-26T12.40.09.253,1.060,-14.268,19.268,4.573
1727343609273,2024-09-26T12.40.09.273,1.080,-14.024,4.024,6.951
1727343609293,2024-09-26T12.40.09.293,1.100,-10.610,-1.159,5.549
1727343609313,2024-09-26T12.40.09.313,1.120,-8.963,2.683,2.317
1727343609333,2024-09-26T12.40.09.333,1.140,-5.976,9.024,-0.610
1727343609353,2024-09-26T12.40.09.353,1.160,-6.280,6.524,-4.451
1727343609373,2024-09-26T12.40.09.373,1.180,-5.488,4.512,-5.915
1727343609393,2024-09-26T12.40.09.393,1.200,-2.134,2.561,-3.293
1727343609413,2024-09-26T12.40.09.413,1.220,0.488,0.854,-2.195
1727343609433,2024-09-26T12.40.09.433,1.240,-0.854,2.134,-3.720
1727343609453,2024-09-26T12.40.09.453,1.260,-1.646,3.537,-5.366
1727343609473,2024-09-26T12.40.09.473,1.280,-0.549,1.280,-5.122
1727343609493,2024-09-26T12.40.09.493,1.300,2.195,3.780,-5.488
1727343609513,2024-09-26T12.40.09.513,1.320,3.049,8.476,-4.756
1727343609533,2024-09-26T12.40.09.533,1.340,0.793,5.488,-2.805
1727343609553,2024-09-26T12.40.09.553,1.360,-2.927,-4.024,-3.110
1727343609573,2024-09-26T12.40.09.573,1.380,-2.256,-3.110,-3.963
1727343609593,2024-09-26T12.40.09.593,1.400,1.402,4.390,-3.780
1727343609613,2024-09-26T12.40.09.613,1.420,1.707,3.415,-2.805
1727343609633,2024-09-26T12.40.09.633,1.440,-1.707,-2.622,-0.915
1727343609653,2024-09-26T12.40.09.653,1.460,-4.634,-5.427,0.305
1727343609673,2024-09-26T12.40.09.673,1.480,-3.293,-0.793,0.000
1727343609693,2024-09-26T12.40.09.693,1.500,-1.220,3.537,-0.366
1727343609713,2024-09-26T12.40.09.713,1.520,-2.683,1.524,0.610
1727343609733,2024-09-26T12.40.09.733,1.540,-5.183,-3.963,2.317
1727343609753,2024-09-26T12.40.09.753,1.560,-6.524,-6.220,1.646
1727343609773,2024-09-26T12.40.09.773,1.580,-4.878,0.549,0.305
1727343609793,2024-09-26T12.40.09.793,1.600,0.427,8.720,-0.061
1727343609813,2024-09-26T12.40.09.813,1.620,0.061,0.976,2.378
1727343609853,2024-09-26T12.40.09.853,1.660,-3.780,1.280,1.585
1727343609873,2024-09-26T12.40.09.873,1.680,1.220,6.037,-0.183
1727343609893,2024-09-26T12.40.09.893,1.700,3.171,3.171,0.610
1727343609913,2024-09-26T12.40.09.913,1.720,-0.305,-1.280,2.378
1727343609993,2024-09-26T12.40.09.993,1.800,11.280,4.756,5.305
1727343610013,2024-09-26T12.40.10.013,1.820,15.915,6.951,9.024
1727343610033,2024-09-26T12.40.10.033,1.840,19.756,13.476,12.744
1727343610053,2024-09-26T12.40.10.053,1.860,22.683,17.256,17.866
1727343610073,2024-09-26T12.40.10.073,1.880,23.659,16.341,24.573
1727343610093,2024-09-26T12.40.10.093,1.900,23.476,10.976,32.805
1727343610113,2024-09-26T12.40.10.113,1.920,23.598,6.341,39.695
1727343610133,2024-09-26T12.40.10.133,1.940,21.524,8.049,45.488
1727343610153,2024-09-26T12.40.10.153,1.960,14.695,9.573,49.451
