epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727343504060,2024-09-26T12.38.24.060,0.000,-0.266,-0.162,1.189
1727343504080,2024-09-26T12.38.24.080,0.020,-0.132,-0.123,1.224
1727343504100,2024-09-26T12.38.24.100,0.040,-0.028,-0.100,1.237
1727343504120,2024-09-26T12.38.24.120,0.060,-0.036,-0.147,1.272
1727343504140,2024-09-26T12.38.24.140,0.080,-0.057,-0.211,1.269
1727343504160,2024-09-26T12.38.24.160,0.100,0.064,-0.177,1.236
1727343504180,2024-09-26T12.38.24.180,0.120,0.192,-0.093,1.277
1727343504200,2024-09-26T12.38.24.200,0.140,0.177,-0.061,1.334
1727343504220,2024-09-26T12.38.24.220,0.160,0.074,-0.107,1.366
1727343504240,2024-09-26T12.38.24.240,0.180,0.026,-0.170,1.366
1727343504260,2024-09-26T12.38.24.260,0.200,0.017,-0.177,1.319
1727343504280,2024-09-26T12.38.24.280,0.220,0.016,-0.126,1.262
1727343504300,2024-09-26T12.38.24.300,0.240,-0.044,-0.065,1.214
1727343504320,2024-09-26T12.38.24.320,0.260,-0.114,-0.081,1.218
1727343504340,2024-09-26T12.38.24.340,0.280,-0.108,-0.118,1.273
1727343504360,2024-09-26T12.38.24.360,0.300,-0.047,-0.132,1.256
1727343504380,2024-09-26T12.38.24.380,0.320,0.019,-0.107,1.214
1727343504400,2024-09-26T12.38.24.400,0.340,0.052,-0.075,1.188
1727343504420,2024-09-26T12.38.24.420,0.360,0.062,-0.070,1.180
1727343504440,2024-09-26T12.38.24.440,0.380,0.098,-0.078,1.140
1727343504460,2024-09-26T12.38.24.460,0.400,0.151,-0.071,1.114
1727343504480,2024-09-26T12.38.24.480,0.420,0.176,-0.052,1.106
1727343504500,2024-09-26T12.38.24.500,0.440,0.166,-0.036,1.086
1727343504520,2024-09-26T12.38.24.520,0.460,0.186,-0.040,1.036
1727343504540,2024-09-26T12.38.24.540,0.480,0.176,-0.019,0.981
1727343504560,2024-09-26T12.38.24.560,0.500,0.171,0.013,0.949
1727343504580,2024-09-26T12.38.24.580,0.520,0.136,0.013,0.938
1727343504600,2024-09-26T12.38.24.600,0.540,0.035,0.012,0.916
1727343504620,2024-09-26T12.38.24.620,0.560,-0.032,0.044,0.904
1727343504640,2024-09-26T12.38.24.640,0.580,-0.026,0.064,0.895
1727343504660,2024-09-26T12.38.24.660,0.600,0.020,0.026,0.887
1727343504680,2024-09-26T12.38.24.680,0.620,-0.059,0.015,0.847
1727343504700,2024-09-26T12.38.24.700,0.640,-0.150,0.034,0.802
1727343504720,2024-09-26T12.38.24.720,0.660,-0.105,0.044,0.788
1727343504740,2024-09-26T12.38.24.740,0.680,-0.133,0.034,0.821
1727343504760,2024-09-26T12.38.24.760,0.700,-0.145,0.035,0.800
1727343504780,2024-09-26T12.38.24.780,0.720,-0.120,0.047,0.816
1727343504800,2024-09-26T12.38.24.800,0.740,-0.114,0.035,0.821
1727343504820,2024-09-26T12.38.24.820,0.760,-0.147,0.042,0.774
1727343504840,2024-09-26T12.38.24.840,0.780,-0.168,0.065,0.771
1727343504860,2024-09-26T12.38.24.860,0.800,-0.198,0.111,0.804
1727343504880,2024-09-26T12.38.24.880,0.820,-0.251,0.156,0.747
1727343504900,2024-09-26T12.38.24.900,0.840,-0.242,0.132,0.670
1727343504920,2024-09-26T12.38.24.920,0.860,-0.135,0.098,0.713
1727343504940,2024-09-26T12.38.24.940,0.880,-0.162,0.104,0.732
1727343504960,2024-09-26T12.38.24.960,0.900,-0.334,0.137,0.681
1727343504980,2024-09-26T12.38.24.980,0.920,-0.342,0.124,0.730
1727343505000,2024-09-26T12.38.25.000,0.940,-0.301,0.096,0.831
