epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727343504057,2024-09-26T12.38.24.057,0.000,-51.646,8.354,30.610
1727343504077,2024-09-26T12.38.24.077,0.020,-50.915,6.951,32.073
1727343504097,2024-09-26T12.38.24.097,0.040,-50.976,0.427,41.707
1727343504117,2024-09-26T12.38.24.117,0.060,-54.695,1.768,51.341
1727343504137,2024-09-26T12.38.24.137,0.080,-51.951,11.341,52.744
1727343504157,2024-09-26T12.38.24.157,0.100,-37.012,11.829,52.744
1727343504177,2024-09-26T12.38.24.177,0.120,-23.354,2.317,57.012
1727343504197,2024-09-26T12.38.24.197,0.140,-21.220,9.817,58.293
1727343504217,2024-09-26T12.38.24.217,0.160,-23.476,21.707,57.012
1727343504237,2024-09-26T12.38.24.237,0.180,-20.976,18.293,56.098
1727343504257,2024-09-26T12.38.24.257,0.200,-2.683,8.354,54.024
1727343504277,2024-09-26T12.38.24.277,0.220,20.976,3.902,52.622
1727343504297,2024-09-26T12.38.24.297,0.240,33.232,15.244,47.134
1727343504317,2024-09-26T12.38.24.317,0.260,30.244,33.476,41.768
1727343504337,2024-09-26T12.38.24.337,0.280,23.049,35.122,42.439
1727343504357,2024-09-26T12.38.24.357,0.300,26.890,32.012,45.793
1727343504377,2024-09-26T12.38.24.377,0.320,37.134,33.171,49.939
1727343504397,2024-09-26T12.38.24.397,0.340,41.829,39.329,50.549
1727343504417,2024-09-26T12.38.24.417,0.360,39.939,45.000,47.012
1727343504437,2024-09-26T12.38.24.437,0.380,38.171,43.780,43.110
1727343504457,2024-09-26T12.38.24.457,0.400,43.049,45.305,40.305
1727343504477,2024-09-26T12.38.24.477,0.420,49.085,48.841,35.183
1727343504497,2024-09-26T12.38.24.497,0.440,49.817,47.683,28.841
1727343504517,2024-09-26T12.38.24.517,0.460,49.512,40.793,23.841
1727343504537,2024-09-26T12.38.24.537,0.480,51.098,35.366,19.756
1727343504557,2024-09-26T12.38.24.557,0.500,51.159,33.293,14.817
1727343504577,2024-09-26T12.38.24.577,0.520,49.451,33.659,4.512
1727343504597,2024-09-26T12.38.24.597,0.540,49.634,38.537,-4.329
1727343504617,2024-09-26T12.38.24.617,0.560,50.183,35.732,-6.646
