epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727342794487,2024-09-26T12.26.34.487,0.000,0.066,-0.248,0.825
1727342794507,2024-09-26T12.26.34.507,0.020,0.090,-0.154,0.791
1727342794527,2024-09-26T12.26.34.527,0.040,0.101,-0.064,0.744
1727342794547,2024-09-26T12.26.34.547,0.060,0.028,0.008,0.709
1727342794567,2024-09-26T12.26.34.567,0.080,-0.013,0.073,0.714
1727342794587,2024-09-26T12.26.34.587,0.100,0.038,0.125,0.690
1727342794607,2024-09-26T12.26.34.607,0.120,0.011,0.194,0.596
1727342794627,2024-09-26T12.26.34.627,0.140,-0.019,0.275,0.557
1727342794647,2024-09-26T12.26.34.647,0.160,0.025,0.252,0.652
1727342794667,2024-09-26T12.26.34.667,0.180,0.005,0.227,0.755
1727342794687,2024-09-26T12.26.34.687,0.200,0.023,0.253,0.743
1727342794707,2024-09-26T12.26.34.707,0.220,0.042,0.281,0.690
1727342794727,2024-09-26T12.26.34.727,0.240,0.047,0.281,0.709
1727342794747,2024-09-26T12.26.34.747,0.260,0.027,0.266,0.818
1727342794767,2024-09-26T12.26.34.767,0.280,-0.006,0.273,0.865
1727342794787,2024-09-26T12.26.34.787,0.300,0.007,0.290,0.838
1727342794807,2024-09-26T12.26.34.807,0.320,0.073,0.263,0.844
1727342794827,2024-09-26T12.26.34.827,0.340,0.044,0.280,0.889
1727342794847,2024-09-26T12.26.34.847,0.360,-0.038,0.300,0.945
1727342794867,2024-09-26T12.26.34.867,0.380,0.005,0.285,0.949
1727342794887,2024-09-26T12.26.34.887,0.400,0.024,0.280,0.909
1727342794907,2024-09-26T12.26.34.907,0.420,0.071,0.283,0.888
1727342794927,2024-09-26T12.26.34.927,0.440,0.045,0.295,0.937
1727342794947,2024-09-26T12.26.34.947,0.460,0.017,0.276,1.014
1727342794967,2024-09-26T12.26.34.967,0.480,0.069,0.275,0.977
1727342794987,2024-09-26T12.26.34.987,0.500,0.042,0.277,0.891
1727342795007,2024-09-26T12.26.35.007,0.520,0.052,0.289,0.859
1727342795027,2024-09-26T12.26.35.027,0.540,0.073,0.288,0.948
1727342795047,2024-09-26T12.26.35.047,0.560,0.061,0.274,0.953
1727342795067,2024-09-26T12.26.35.067,0.580,0.033,0.297,0.865
1727342795087,2024-09-26T12.26.35.087,0.600,0.006,0.311,0.799
1727342795107,2024-09-26T12.26.35.107,0.620,0.043,0.302,0.808
1727342795127,2024-09-26T12.26.35.127,0.640,0.060,0.284,0.893
1727342795147,2024-09-26T12.26.35.147,0.660,0.072,0.260,0.916
