epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727342794635,2024-09-26T12.26.34.635,0.000,145.488,30.061,-17.988
1727342794655,2024-09-26T12.26.34.655,0.020,144.390,30.793,-17.744
1727342794675,2024-09-26T12.26.34.675,0.040,138.110,31.768,-17.622
1727342794695,2024-09-26T12.26.34.695,0.060,129.451,21.707,-20.610
1727342794715,2024-09-26T12.26.34.715,0.080,113.537,7.378,-23.659
1727342794735,2024-09-26T12.26.34.735,0.100,100.244,8.841,-21.768
1727342794755,2024-09-26T12.26.34.755,0.120,86.341,12.073,-20.610
1727342794775,2024-09-26T12.26.34.775,0.140,64.756,7.256,-17.256
1727342794795,2024-09-26T12.26.34.795,0.160,48.415,3.659,-16.890
1727342794815,2024-09-26T12.26.34.815,0.180,35.488,-1.098,-14.573
1727342794835,2024-09-26T12.26.34.835,0.200,26.646,1.585,-9.878
1727342794855,2024-09-26T12.26.34.855,0.220,20.061,3.902,-8.720
1727342794875,2024-09-26T12.26.34.875,0.240,14.329,-0.305,-9.451
1727342794895,2024-09-26T12.26.34.895,0.260,8.963,-11.341,-11.951
1727342794915,2024-09-26T12.26.34.915,0.280,2.561,-17.439,-9.451
1727342794935,2024-09-26T12.26.34.935,0.300,0.366,-14.085,-6.768
1727342794955,2024-09-26T12.26.34.955,0.320,4.207,-2.805,-5.610
1727342794975,2024-09-26T12.26.34.975,0.340,3.537,-5.122,-6.402
1727342794995,2024-09-26T12.26.34.995,0.360,-2.317,-16.768,-5.488
1727342795015,2024-09-26T12.26.35.015,0.380,-2.805,-15.915,-4.390
1727342795035,2024-09-26T12.26.35.035,0.400,-0.305,-9.756,-3.659
1727342795055,2024-09-26T12.26.35.055,0.420,3.963,0.915,-3.232
1727342795075,2024-09-26T12.26.35.075,0.440,1.829,-1.220,-5.061
1727342795095,2024-09-26T12.26.35.095,0.460,-1.646,-8.963,-2.866
1727342795115,2024-09-26T12.26.35.115,0.480,-0.976,-5.061,-0.549
1727342795135,2024-09-26T12.26.35.135,0.500,3.476,-1.585,-2.012
1727342795155,2024-09-26T12.26.35.155,0.520,4.512,0.671,-5.244
1727342795175,2024-09-26T12.26.35.175,0.540,1.829,-0.427,-4.451
1727342795195,2024-09-26T12.26.35.195,0.560,0.976,-1.707,-0.793
1727342795215,2024-09-26T12.26.35.215,0.580,-0.610,-5.366,0.427
1727342795235,2024-09-26T12.26.35.235,0.600,-3.780,-7.378,0.671
1727342795255,2024-09-26T12.26.35.255,0.620,-7.805,-5.610,-0.549
1727342795275,2024-09-26T12.26.35.275,0.640,-12.988,-6.829,1.280
1727342795295,2024-09-26T12.26.35.295,0.660,-15.000,-6.829,4.207
1727342795315,2024-09-26T12.26.35.315,0.680,-17.256,-10.549,4.878
1727342795335,2024-09-26T12.26.35.335,0.700,-21.341,-15.732,2.927
1727342795355,2024-09-26T12.26.35.355,0.720,-25.732,-18.476,0.610
1727342795375,2024-09-26T12.26.35.375,0.740,-38.598,-22.988,1.463
1727342795395,2024-09-26T12.26.35.395,0.760,-57.866,-21.768,5.732
1727342795415,2024-09-26T12.26.35.415,0.780,-79.878,-10.244,12.378
1727342795435,2024-09-26T12.26.35.435,0.800,-100.671,-3.780,20.610
1727342795455,2024-09-26T12.26.35.455,0.820,-110.061,-10.244,25.000
1727342795475,2024-09-26T12.26.35.475,0.840,-108.659,-19.207,21.524
1727342795495,2024-09-26T12.26.35.495,0.860,-111.037,-22.805,15.671
1727342795515,2024-09-26T12.26.35.515,0.880,-124.634,-25.610,12.683
1727342795535,2024-09-26T12.26.35.535,0.900,-129.512,-22.988,20.549
1727342795555,2024-09-26T12.26.35.555,0.920,-133.963,-11.341,25.122
1727342795575,2024-09-26T12.26.35.575,0.940,-139.024,-23.232,19.451
1727342795595,2024-09-26T12.26.35.595,0.960,-140.244,-29.817,17.195
1727342795615,2024-09-26T12.26.35.615,0.980,-143.598,-18.354,17.073
1727342795635,2024-09-26T12.26.35.635,1.000,-144.024,-5.671,25.976
1727342795655,2024-09-26T12.26.35.655,1.020,-136.037,-1.098,24.268
1727342795675,2024-09-26T12.26.35.675,1.040,-128.963,-15.671,15.549
1727342795695,2024-09-26T12.26.35.695,1.060,-131.707,-20.366,16.585
1727342795715,2024-09-26T12.26.35.715,1.080,-131.585,-6.280,23.232
1727342795735,2024-09-26T12.26.35.735,1.100,-133.049,1.890,24.756
1727342795755,2024-09-26T12.26.35.755,1.120,-130.976,-4.695,22.866
1727342795775,2024-09-26T12.26.35.775,1.140,-125.549,-12.317,18.598
1727342795795,2024-09-26T12.26.35.795,1.160,-117.683,-3.171,13.841
1727342795815,2024-09-26T12.26.35.815,1.180,-118.232,4.146,15.122
1727342795835,2024-09-26T12.26.35.835,1.200,-119.390,12.744,18.780
1727342795855,2024-09-26T12.26.35.855,1.220,-116.890,10.732,19.512
1727342795875,2024-09-26T12.26.35.875,1.240,-116.098,8.415,21.951
1727342795895,2024-09-26T12.26.35.895,1.260,-107.012,11.402,20.976
1727342795915,2024-09-26T12.26.35.915,1.280,-93.780,12.866,17.805
1727342795935,2024-09-26T12.26.35.935,1.300,-90.732,7.012,17.561
1727342795955,2024-09-26T12.26.35.955,1.320,-84.390,3.963,17.500
1727342795975,2024-09-26T12.26.35.975,1.340,-69.695,5.915,13.293
1727342795995,2024-09-26T12.26.35.995,1.360,-57.927,2.622,13.780
