epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727343135650,2024-09-26T12.32.15.650,0.000,-0.049,-0.151,0.933
1727343135670,2024-09-26T12.32.15.670,0.020,0.175,-0.154,0.927
1727343135690,2024-09-26T12.32.15.690,0.040,0.082,-0.153,1.026
1727343135710,2024-09-26T12.32.15.710,0.060,-0.181,-0.151,1.060
1727343135730,2024-09-26T12.32.15.730,0.080,-0.206,-0.113,0.989
1727343135750,2024-09-26T12.32.15.750,0.100,-0.039,-0.120,0.939
1727343135770,2024-09-26T12.32.15.770,0.120,0.144,-0.146,1.013
1727343135790,2024-09-26T12.32.15.790,0.140,0.050,-0.123,1.071
1727343135810,2024-09-26T12.32.15.810,0.160,-0.042,-0.105,1.015
1727343135830,2024-09-26T12.32.15.830,0.180,0.052,-0.094,0.983
1727343135850,2024-09-26T12.32.15.850,0.200,0.087,-0.111,1.003
1727343135870,2024-09-26T12.32.15.870,0.220,0.159,-0.111,1.020
1727343135890,2024-09-26T12.32.15.890,0.240,0.134,-0.088,1.000
1727343135910,2024-09-26T12.32.15.910,0.260,0.099,-0.078,0.973
1727343135930,2024-09-26T12.32.15.930,0.280,0.120,-0.093,0.937
1727343135950,2024-09-26T12.32.15.950,0.300,0.187,-0.090,0.938
1727343135970,2024-09-26T12.32.15.970,0.320,0.158,-0.096,0.993
1727343135990,2024-09-26T12.32.15.990,0.340,0.116,-0.095,0.999
1727343136010,2024-09-26T12.32.16.010,0.360,0.031,-0.111,0.995
1727343136030,2024-09-26T12.32.16.030,0.380,0.001,-0.119,0.981
1727343136050,2024-09-26T12.32.16.050,0.400,0.029,-0.109,1.031
1727343136070,2024-09-26T12.32.16.070,0.420,-0.066,-0.130,1.089
1727343136090,2024-09-26T12.32.16.090,0.440,-0.124,-0.134,1.073
1727343136110,2024-09-26T12.32.16.110,0.460,-0.114,-0.140,1.032
1727343136130,2024-09-26T12.32.16.130,0.480,-0.079,-0.166,1.052
1727343136150,2024-09-26T12.32.16.150,0.500,-0.083,-0.172,1.094
1727343136170,2024-09-26T12.32.16.170,0.520,-0.131,-0.171,1.078
1727343136190,2024-09-26T12.32.16.190,0.540,-0.152,-0.189,1.038
1727343136210,2024-09-26T12.32.16.210,0.560,-0.091,-0.216,1.022
1727343136230,2024-09-26T12.32.16.230,0.580,-0.043,-0.213,1.004
1727343136250,2024-09-26T12.32.16.250,0.600,-0.063,-0.195,0.994
1727343136270,2024-09-26T12.32.16.270,0.620,-0.020,-0.205,0.976
1727343136290,2024-09-26T12.32.16.290,0.640,0.044,-0.183,0.945
1727343136310,2024-09-26T12.32.16.310,0.660,0.098,-0.168,0.961
1727343136330,2024-09-26T12.32.16.330,0.680,0.179,-0.190,0.970
1727343136350,2024-09-26T12.32.16.350,0.700,0.134,-0.163,0.959
1727343136370,2024-09-26T12.32.16.370,0.720,0.117,-0.169,0.931
1727343136390,2024-09-26T12.32.16.390,0.740,0.146,-0.170,0.895
1727343136410,2024-09-26T12.32.16.410,0.760,0.196,-0.169,0.913
1727343136430,2024-09-26T12.32.16.430,0.780,0.215,-0.161,0.901
1727343136450,2024-09-26T12.32.16.450,0.800,0.156,-0.130,0.889
1727343136470,2024-09-26T12.32.16.470,0.820,0.174,-0.142,0.873
1727343136490,2024-09-26T12.32.16.490,0.840,0.261,-0.141,0.843
1727343136510,2024-09-26T12.32.16.510,0.860,0.305,-0.101,0.849
1727343136530,2024-09-26T12.32.16.530,0.880,0.249,-0.091,0.854
1727343136550,2024-09-26T12.32.16.550,0.900,0.285,-0.086,0.837
