epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727343135651,2024-09-26T12.32.15.651,0.000,-26.159,4.024,-70.732
1727343135671,2024-09-26T12.32.15.671,0.020,-25.244,5.915,-69.146
1727343135691,2024-09-26T12.32.15.691,0.040,-23.659,16.768,-57.073
1727343135711,2024-09-26T12.32.15.711,0.060,-23.171,23.598,-40.122
1727343135731,2024-09-26T12.32.15.731,0.080,-22.317,6.707,-34.573
1727343135751,2024-09-26T12.32.15.751,0.100,-20.488,-9.756,-27.744
1727343135771,2024-09-26T12.32.15.771,0.120,-15.427,-9.390,-17.866
1727343135791,2024-09-26T12.32.15.791,0.140,-12.439,6.280,-3.841
1727343135811,2024-09-26T12.32.15.811,0.160,-12.073,7.805,1.159
1727343135831,2024-09-26T12.32.15.831,0.180,-10.549,-5.976,-2.378
1727343135851,2024-09-26T12.32.15.851,0.200,-7.988,-7.683,-3.415
1727343135871,2024-09-26T12.32.15.871,0.220,-4.695,-2.561,0.122
1727343135891,2024-09-26T12.32.15.891,0.240,-3.293,5.610,4.268
1727343135911,2024-09-26T12.32.15.911,0.260,-5.427,4.573,4.268
1727343135931,2024-09-26T12.32.15.931,0.280,-6.890,-2.378,2.134
1727343135951,2024-09-26T12.32.15.951,0.300,-5.671,-3.049,1.037
1727343135971,2024-09-26T12.32.15.971,0.320,-5.549,4.268,1.341
1727343135991,2024-09-26T12.32.15.991,0.340,-5.915,8.841,0.854
1727343136011,2024-09-26T12.32.16.011,0.360,-6.159,7.622,-0.183
1727343136031,2024-09-26T12.32.16.031,0.380,-2.256,0.610,1.951
1727343136051,2024-09-26T12.32.16.051,0.400,4.573,-2.744,8.415
1727343136071,2024-09-26T12.32.16.071,0.420,7.378,0.061,19.268
1727343136091,2024-09-26T12.32.16.091,0.440,11.524,-0.549,28.476
1727343136111,2024-09-26T12.32.16.111,0.460,16.585,-8.902,36.524
1727343136131,2024-09-26T12.32.16.131,0.480,21.159,-15.183,45.610
1727343136151,2024-09-26T12.32.16.151,0.500,27.561,-12.256,56.098
1727343136171,2024-09-26T12.32.16.171,0.520,31.707,-9.512,66.280
1727343136191,2024-09-26T12.32.16.191,0.540,35.244,-12.012,76.402
1727343136211,2024-09-26T12.32.16.211,0.560,41.341,-15.488,85.793
1727343136231,2024-09-26T12.32.16.231,0.580,46.707,-13.171,96.220
1727343136251,2024-09-26T12.32.16.251,0.600,48.415,-10.671,103.780
1727343136271,2024-09-26T12.32.16.271,0.620,46.402,-14.573,109.512
1727343136291,2024-09-26T12.32.16.291,0.640,46.341,-12.256,114.268
1727343136311,2024-09-26T12.32.16.311,0.660,47.805,-7.561,116.707
1727343136331,2024-09-26T12.32.16.331,0.680,47.500,-2.439,123.232
1727343136351,2024-09-26T12.32.16.351,0.700,47.805,2.500,129.085
1727343136371,2024-09-26T12.32.16.371,0.720,47.500,-1.280,131.524
1727343136391,2024-09-26T12.32.16.391,0.740,49.573,-10.061,132.378
1727343136411,2024-09-26T12.32.16.411,0.760,50.427,-18.598,132.073
1727343136431,2024-09-26T12.32.16.431,0.780,52.378,-18.963,133.902
1727343136451,2024-09-26T12.32.16.451,0.800,54.512,-16.951,136.524
1727343136471,2024-09-26T12.32.16.471,0.820,53.841,-19.695,141.037
1727343136491,2024-09-26T12.32.16.491,0.840,55.061,-23.293,144.573
1727343136511,2024-09-26T12.32.16.511,0.860,53.659,-25.549,147.805
1727343136531,2024-09-26T12.32.16.531,0.880,49.573,-25.976,147.622
1727343136551,2024-09-26T12.32.16.551,0.900,46.829,-29.512,144.695
1727343136571,2024-09-26T12.32.16.571,0.920,45.244,-30.854,140.915
1727343136591,2024-09-26T12.32.16.591,0.940,42.805,-27.134,140.427
1727343136611,2024-09-26T12.32.16.611,0.960,40.305,-18.354,139.634
1727343136631,2024-09-26T12.32.16.631,0.980,35.854,-11.098,136.646
1727343136651,2024-09-26T12.32.16.651,1.000,27.683,-5.915,131.220
1727343136671,2024-09-26T12.32.16.671,1.020,20.671,-2.195,120.915
1727343136691,2024-09-26T12.32.16.691,1.040,11.585,-10.244,106.646
1727343136711,2024-09-26T12.32.16.711,1.060,3.841,-16.037,92.927
1727343136731,2024-09-26T12.32.16.731,1.080,0.610,-15.976,79.146
1727343136751,2024-09-26T12.32.16.751,1.100,2.866,-10.305,72.744
1727343136771,2024-09-26T12.32.16.771,1.120,7.683,-7.195,67.561
1727343136791,2024-09-26T12.32.16.791,1.140,11.037,-10.366,58.415
1727343136811,2024-09-26T12.32.16.811,1.160,14.756,-2.195,51.585
1727343136831,2024-09-26T12.32.16.831,1.180,18.963,10.915,47.988
1727343136851,2024-09-26T12.32.16.851,1.200,15.305,16.098,36.402
1727343136871,2024-09-26T12.32.16.871,1.220,11.098,16.829,24.390
1727343136891,2024-09-26T12.32.16.891,1.240,1.098,16.463,15.366
1727343136911,2024-09-26T12.32.16.911,1.260,-5.427,13.293,7.378
1727343136931,2024-09-26T12.32.16.931,1.280,-10.549,4.451,1.463
1727343136951,2024-09-26T12.32.16.951,1.300,-15.122,2.134,-5.732
1727343136971,2024-09-26T12.32.16.971,1.320,-17.134,4.146,-15.549
1727343136991,2024-09-26T12.32.16.991,1.340,-19.085,5.854,-26.707
1727343137011,2024-09-26T12.32.17.011,1.360,-18.476,5.366,-41.402
1727343137031,2024-09-26T12.32.17.031,1.380,-17.012,9.207,-55.061
1727343137051,2024-09-26T12.32.17.051,1.400,-19.146,12.866,-67.378
1727343137071,2024-09-26T12.32.17.071,1.420,-25.122,6.402,-80.610
