epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727343308842,2024-09-26T12.35.08.842,0.000,0.025,-0.087,0.974
1727343308862,2024-09-26T12.35.08.862,0.020,0.019,-0.108,1.023
1727343308882,2024-09-26T12.35.08.882,0.040,0.042,-0.142,1.026
1727343308902,2024-09-26T12.35.08.902,0.060,-0.013,-0.122,0.981
1727343308922,2024-09-26T12.35.08.922,0.080,-0.112,-0.080,0.954
1727343308942,2024-09-26T12.35.08.942,0.100,-0.101,-0.104,0.966
1727343308962,2024-09-26T12.35.08.962,0.120,-0.083,-0.129,0.997
1727343308982,2024-09-26T12.35.08.982,0.140,-0.081,-0.121,1.000
1727343309002,2024-09-26T12.35.09.002,0.160,-0.059,-0.140,0.978
1727343309022,2024-09-26T12.35.09.022,0.180,-0.050,-0.150,0.965
1727343309042,2024-09-26T12.35.09.042,0.200,-0.035,-0.099,0.958
1727343309062,2024-09-26T12.35.09.062,0.220,0.004,-0.088,0.957
1727343309082,2024-09-26T12.35.09.082,0.240,0.131,-0.082,0.927
1727343309102,2024-09-26T12.35.09.102,0.260,0.075,-0.028,0.869
1727343309122,2024-09-26T12.35.09.122,0.280,-0.012,-0.005,0.876
1727343309142,2024-09-26T12.35.09.142,0.300,-0.038,0.003,0.909
1727343309162,2024-09-26T12.35.09.162,0.320,0.056,-0.007,0.956
1727343309182,2024-09-26T12.35.09.182,0.340,0.106,-0.023,0.969
1727343309202,2024-09-26T12.35.09.202,0.360,-0.073,-0.010,0.975
1727343309222,2024-09-26T12.35.09.222,0.380,-0.194,-0.058,1.025
1727343309242,2024-09-26T12.35.09.242,0.400,-0.175,-0.088,1.085
1727343309262,2024-09-26T12.35.09.262,0.420,-0.078,-0.090,1.121
1727343309282,2024-09-26T12.35.09.282,0.440,-0.065,-0.087,1.106
1727343309302,2024-09-26T12.35.09.302,0.460,-0.135,-0.097,1.092
1727343309322,2024-09-26T12.35.09.322,0.480,-0.106,-0.111,1.115
