epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727343308813,2024-09-26T12.35.08.813,0.000,-15.976,5.549,-133.110
1727343308833,2024-09-26T12.35.08.833,0.020,-16.646,2.927,-131.951
1727343308853,2024-09-26T12.35.08.853,0.040,-20.610,-10.305,-129.512
1727343308873,2024-09-26T12.35.08.873,0.060,-24.634,-14.756,-128.720
1727343308893,2024-09-26T12.35.08.893,0.080,-19.756,2.378,-125.854
1727343308913,2024-09-26T12.35.08.913,0.100,-13.049,12.317,-119.207
1727343308933,2024-09-26T12.35.08.933,0.120,-15.976,1.341,-111.220
1727343308953,2024-09-26T12.35.08.953,0.140,-19.512,-6.280,-104.390
1727343308973,2024-09-26T12.35.08.973,0.160,-18.841,-7.012,-95.915
1727343308993,2024-09-26T12.35.08.993,0.180,-19.451,-6.890,-82.378
1727343309013,2024-09-26T12.35.09.013,0.200,-15.244,-5.183,-72.744
1727343309033,2024-09-26T12.35.09.033,0.220,-10.000,-16.951,-71.280
1727343309053,2024-09-26T12.35.09.053,0.240,-12.683,-31.707,-68.049
1727343309073,2024-09-26T12.35.09.073,0.260,-13.659,-29.634,-60.549
1727343309093,2024-09-26T12.35.09.093,0.280,-11.524,-10.488,-51.646
1727343309113,2024-09-26T12.35.09.113,0.300,-12.561,-6.585,-45.915
1727343309133,2024-09-26T12.35.09.133,0.320,-15.244,-24.512,-43.598
1727343309153,2024-09-26T12.35.09.153,0.340,-18.110,-34.451,-39.451
1727343309173,2024-09-26T12.35.09.173,0.360,-19.634,-13.659,-27.317
1727343309193,2024-09-26T12.35.09.193,0.380,-16.524,10.732,-14.024
1727343309213,2024-09-26T12.35.09.213,0.400,-14.573,5.671,-4.878
1727343309233,2024-09-26T12.35.09.233,0.420,-7.683,-11.463,1.585
1727343309253,2024-09-26T12.35.09.253,0.440,0.854,-14.573,17.561
1727343309273,2024-09-26T12.35.09.273,0.460,10.976,6.280,38.049
1727343309293,2024-09-26T12.35.09.293,0.480,18.780,17.805,53.902
1727343309313,2024-09-26T12.35.09.313,0.500,24.207,11.341,63.659
1727343309333,2024-09-26T12.35.09.333,0.520,28.415,5.000,71.951
1727343309353,2024-09-26T12.35.09.353,0.540,34.512,12.439,83.537
1727343309373,2024-09-26T12.35.09.373,0.560,41.707,30.122,94.207
1727343309393,2024-09-26T12.35.09.393,0.580,46.951,39.573,103.598
