epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727344585448,2024-09-26T12.56.25.448,0.000,-0.202,0.184,0.849
1727344585468,2024-09-26T12.56.25.468,0.020,-0.166,0.207,0.802
1727344585488,2024-09-26T12.56.25.488,0.040,-0.187,0.255,0.731
1727344585508,2024-09-26T12.56.25.508,0.060,-0.253,0.293,0.705
1727344585528,2024-09-26T12.56.25.528,0.080,-0.231,0.285,0.655
1727344585548,2024-09-26T12.56.25.548,0.100,-0.207,0.317,0.590
1727344585568,2024-09-26T12.56.25.568,0.120,-0.185,0.392,0.567
1727344585588,2024-09-26T12.56.25.588,0.140,-0.167,0.454,0.548
1727344585608,2024-09-26T12.56.25.608,0.160,-0.210,0.448,0.509
1727344585628,2024-09-26T12.56.25.628,0.180,-0.179,0.451,0.458
1727344585648,2024-09-26T12.56.25.648,0.200,-0.120,0.530,0.387
1727344585668,2024-09-26T12.56.25.668,0.220,-0.103,0.576,0.376
1727344585688,2024-09-26T12.56.25.688,0.240,-0.136,0.569,0.355
1727344585708,2024-09-26T12.56.25.708,0.260,-0.122,0.596,0.323
1727344585728,2024-09-26T12.56.25.728,0.280,-0.064,0.651,0.273
1727344585748,2024-09-26T12.56.25.748,0.300,-0.106,0.705,0.226
1727344585768,2024-09-26T12.56.25.768,0.320,-0.127,0.688,0.239
1727344585788,2024-09-26T12.56.25.788,0.340,-0.108,0.676,0.211
1727344585808,2024-09-26T12.56.25.808,0.360,-0.087,0.746,0.170
1727344585828,2024-09-26T12.56.25.828,0.380,-0.031,0.795,0.141
1727344585848,2024-09-26T12.56.25.848,0.400,-0.042,0.793,0.131
1727344585868,2024-09-26T12.56.25.868,0.420,-0.042,0.829,0.118
1727344585888,2024-09-26T12.56.25.888,0.440,0.018,0.880,0.080
1727344585908,2024-09-26T12.56.25.908,0.460,0.045,0.888,0.070
1727344585928,2024-09-26T12.56.25.928,0.480,0.072,0.880,0.067
1727344585948,2024-09-26T12.56.25.948,0.500,0.066,0.870,0.040
1727344585968,2024-09-26T12.56.25.968,0.520,0.100,0.932,0.007
1727344585988,2024-09-26T12.56.25.988,0.540,0.128,0.986,0.024
1727344586008,2024-09-26T12.56.26.008,0.560,0.156,0.946,0.060
1727344586028,2024-09-26T12.56.26.028,0.580,0.124,0.895,0.042
1727344586048,2024-09-26T12.56.26.048,0.600,0.145,0.939,0.029
1727344586068,2024-09-26T12.56.26.068,0.620,0.183,0.990,0.076
1727344586088,2024-09-26T12.56.26.088,0.640,0.131,0.946,0.097
1727344586108,2024-09-26T12.56.26.108,0.660,0.099,0.901,0.073
1727344586128,2024-09-26T12.56.26.128,0.680,0.125,0.929,0.063
1727344586148,2024-09-26T12.56.26.148,0.700,0.134,0.932,0.079
