epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727344585450,2024-09-26T12.56.25.450,0.000,130.366,36.220,29.756
1727344585470,2024-09-26T12.56.25.470,0.020,129.939,35.793,30.000
1727344585490,2024-09-26T12.56.25.490,0.040,128.659,35.305,30.732
1727344585510,2024-09-26T12.56.25.510,0.060,126.037,33.780,31.159
1727344585530,2024-09-26T12.56.25.530,0.080,124.085,29.451,33.537
1727344585550,2024-09-26T12.56.25.550,0.100,123.110,21.585,38.293
1727344585570,2024-09-26T12.56.25.570,0.120,123.963,8.232,40.610
1727344585590,2024-09-26T12.56.25.590,0.140,122.073,6.890,38.720
1727344585610,2024-09-26T12.56.25.610,0.160,115.610,10.000,40.000
1727344585630,2024-09-26T12.56.25.630,0.180,114.695,1.524,44.695
1727344585650,2024-09-26T12.56.25.650,0.200,115.061,-9.085,45.366
1727344585670,2024-09-26T12.56.25.670,0.220,111.402,-8.841,43.049
1727344585690,2024-09-26T12.56.25.690,0.240,104.878,-2.988,42.195
1727344585710,2024-09-26T12.56.25.710,0.260,101.707,-6.037,41.707
1727344585730,2024-09-26T12.56.25.730,0.280,100.488,-10.976,38.232
1727344585750,2024-09-26T12.56.25.750,0.300,94.024,-6.402,34.451
1727344585770,2024-09-26T12.56.25.770,0.320,87.134,0.305,33.293
1727344585790,2024-09-26T12.56.25.790,0.340,81.768,1.890,34.939
1727344585810,2024-09-26T12.56.25.810,0.360,79.634,-7.256,36.890
1727344585830,2024-09-26T12.56.25.830,0.380,75.488,-12.744,37.744
1727344585850,2024-09-26T12.56.25.850,0.400,68.049,-8.476,36.768
1727344585870,2024-09-26T12.56.25.870,0.420,63.049,-6.646,34.695
1727344585890,2024-09-26T12.56.25.890,0.440,56.890,-8.354,31.707
1727344585910,2024-09-26T12.56.25.910,0.460,48.720,-7.317,30.183
1727344585930,2024-09-26T12.56.25.930,0.480,39.878,-3.841,28.049
1727344585950,2024-09-26T12.56.25.950,0.500,31.402,0.915,26.768
1727344585970,2024-09-26T12.56.25.970,0.520,25.610,-3.963,24.573
1727344585990,2024-09-26T12.56.25.990,0.540,18.293,-8.780,18.415
1727344586010,2024-09-26T12.56.26.010,0.560,8.780,-5.122,13.171
1727344586030,2024-09-26T12.56.26.030,0.580,-0.183,3.963,11.585
1727344586050,2024-09-26T12.56.26.050,0.600,-4.512,-1.585,9.756
1727344586070,2024-09-26T12.56.26.070,0.620,-9.268,-6.890,4.634
1727344586090,2024-09-26T12.56.26.090,0.640,-16.524,1.524,0.366
1727344586110,2024-09-26T12.56.26.110,0.660,-21.585,6.159,-1.768
1727344586130,2024-09-26T12.56.26.130,0.680,-24.451,-3.232,-3.537
1727344586150,2024-09-26T12.56.26.150,0.700,-29.695,-9.207,-5.000
1727344586170,2024-09-26T12.56.26.170,0.720,-37.500,-7.012,-8.110
1727344586190,2024-09-26T12.56.26.190,0.740,-46.098,-3.780,-10.366
1727344586210,2024-09-26T12.56.26.210,0.760,-55.000,-4.451,-12.256
1727344586230,2024-09-26T12.56.26.230,0.780,-66.951,-6.280,-15.061
1727344586250,2024-09-26T12.56.26.250,0.800,-81.037,-0.183,-19.512
1727344586270,2024-09-26T12.56.26.270,0.820,-95.122,7.805,-24.939
1727344586290,2024-09-26T12.56.26.290,0.840,-107.500,12.988,-29.634
1727344586310,2024-09-26T12.56.26.310,0.860,-117.561,19.146,-31.585
1727344586330,2024-09-26T12.56.26.330,0.880,-122.805,18.537,-32.256
1727344586350,2024-09-26T12.56.26.350,0.900,-122.012,9.695,-33.232
1727344586370,2024-09-26T12.56.26.370,0.920,-123.659,6.951,-35.000
1727344586390,2024-09-26T12.56.26.390,0.940,-125.854,2.134,-33.902
1727344586410,2024-09-26T12.56.26.410,0.960,-125.854,-8.659,-32.500
1727344586430,2024-09-26T12.56.26.430,0.980,-124.817,-14.390,-30.854
1727344586450,2024-09-26T12.56.26.450,1.000,-124.756,-17.805,-26.829
1727344586470,2024-09-26T12.56.26.470,1.020,-122.195,-31.159,-22.073
1727344586490,2024-09-26T12.56.26.490,1.040,-121.646,-38.415,-22.744
1727344586510,2024-09-26T12.56.26.510,1.060,-125.549,-21.220,-25.122
1727344586530,2024-09-26T12.56.26.530,1.080,-124.817,-5.976,-24.329
1727344586550,2024-09-26T12.56.26.550,1.100,-117.195,-19.146,-21.829
1727344586570,2024-09-26T12.56.26.570,1.120,-111.280,-33.902,-22.988
1727344586590,2024-09-26T12.56.26.590,1.140,-116.220,-22.561,-26.402
1727344586610,2024-09-26T12.56.26.610,1.160,-117.805,-4.024,-28.841
1727344586630,2024-09-26T12.56.26.630,1.180,-111.463,-8.720,-27.256
1727344586650,2024-09-26T12.56.26.650,1.200,-104.878,-23.415,-24.390
1727344586670,2024-09-26T12.56.26.670,1.220,-107.195,-22.805,-22.439
1727344586690,2024-09-26T12.56.26.690,1.240,-108.293,-12.927,-22.988
1727344586710,2024-09-26T12.56.26.710,1.260,-103.476,-12.195,-21.341
1727344586730,2024-09-26T12.56.26.730,1.280,-98.598,-20.976,-17.073
1727344586750,2024-09-26T12.56.26.750,1.300,-97.317,-21.341,-11.341
1727344586770,2024-09-26T12.56.26.770,1.320,-93.110,-16.037,-10.366
1727344586790,2024-09-26T12.56.26.790,1.340,-87.195,-9.878,-13.720
1727344586810,2024-09-26T12.56.26.810,1.360,-84.329,-4.512,-11.585
1727344586830,2024-09-26T12.56.26.830,1.380,-81.159,-6.037,-6.402
1727344586850,2024-09-26T12.56.26.850,1.400,-73.598,-13.476,-2.378
1727344586870,2024-09-26T12.56.26.870,1.420,-65.610,-13.354,-1.159
1727344586890,2024-09-26T12.56.26.890,1.440,-59.451,-5.244,0.122
1727344586910,2024-09-26T12.56.26.910,1.460,-51.037,-1.159,-2.500
1727344586930,2024-09-26T12.56.26.930,1.480,-40.549,-2.622,-4.939
1727344586950,2024-09-26T12.56.26.950,1.500,-32.073,-5.183,-3.902
1727344586970,2024-09-26T12.56.26.970,1.520,-25.366,-6.768,-3.354
1727344586990,2024-09-26T12.56.26.990,1.540,-19.146,-4.085,-4.756
1727344587010,2024-09-26T12.56.27.010,1.560,-13.780,1.707,-5.671
1727344587030,2024-09-26T12.56.27.030,1.580,-9.878,11.037,-5.915
1727344587050,2024-09-26T12.56.27.050,1.600,-4.695,12.500,-5.549
1727344587070,2024-09-26T12.56.27.070,1.620,2.317,4.146,-4.329
1727344587090,2024-09-26T12.56.27.090,1.640,6.280,3.841,-2.439
1727344587110,2024-09-26T12.56.27.110,1.660,8.780,11.890,-1.646
1727344587130,2024-09-26T12.56.27.130,1.680,9.756,18.049,-1.890
1727344587150,2024-09-26T12.56.27.150,1.700,15.366,15.183,-0.793
1727344587170,2024-09-26T12.56.27.170,1.720,24.268,11.707,1.463
1727344587190,2024-09-26T12.56.27.190,1.740,32.378,10.305,3.232
1727344587210,2024-09-26T12.56.27.210,1.760,41.890,9.329,5.671
1727344587230,2024-09-26T12.56.27.230,1.780,54.939,11.341,7.500
1727344587250,2024-09-26T12.56.27.250,1.800,67.561,13.841,8.110
1727344587270,2024-09-26T12.56.27.270,1.820,77.378,16.707,12.317
1727344587290,2024-09-26T12.56.27.290,1.840,90.366,16.220,17.927
1727344587310,2024-09-26T12.56.27.310,1.860,102.866,9.756,21.037
1727344587330,2024-09-26T12.56.27.330,1.880,111.463,9.695,21.402
1727344587350,2024-09-26T12.56.27.350,1.900,115.915,16.220,23.293
1727344587370,2024-09-26T12.56.27.370,1.920,120.366,15.976,25.671
1727344587390,2024-09-26T12.56.27.390,1.940,122.317,16.280,27.439
1727344587410,2024-09-26T12.56.27.410,1.960,122.805,19.024,28.841
1727344587430,2024-09-26T12.56.27.430,1.980,123.415,20.854,29.939
1727344587450,2024-09-26T12.56.27.450,2.000,121.220,22.378,33.171
