epoc (ms),timestamp (+0300),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1727343739246,2024-09-26T12.42.19.246,0.000,0.994,0.233,-0.074
1727343739265,2024-09-26T12.42.19.265,0.019,0.962,0.214,-0.109
1727343739286,2024-09-26T12.42.19.286,0.040,0.951,0.194,-0.139
1727343739306,2024-09-26T12.42.19.306,0.060,0.963,0.203,-0.145
1727343739326,2024-09-26T12.42.19.326,0.080,0.992,0.199,-0.132
1727343739346,2024-09-26T12.42.19.346,0.100,0.970,0.203,-0.105
1727343739367,2024-09-26T12.42.19.367,0.121,0.928,0.211,-0.091
1727343739386,2024-09-26T12.42.19.386,0.140,0.955,0.198,-0.089
1727343739406,2024-09-26T12.42.19.406,0.160,0.968,0.201,-0.087
1727343739427,2024-09-26T12.42.19.427,0.181,0.955,0.207,-0.110
1727343739447,2024-09-26T12.42.19.447,0.201,0.980,0.201,-0.135
1727343739466,2024-09-26T12.42.19.466,0.220,0.990,0.194,-0.113
1727343739487,2024-09-26T12.42.19.487,0.241,0.978,0.193,-0.086
1727343739507,2024-09-26T12.42.19.507,0.261,0.961,0.203,-0.084
1727343739526,2024-09-26T12.42.19.526,0.280,0.960,0.201,-0.088
1727343739547,2024-09-26T12.42.19.547,0.301,0.962,0.177,-0.099
1727343739567,2024-09-26T12.42.19.567,0.321,0.963,0.180,-0.116
1727343739586,2024-09-26T12.42.19.586,0.340,0.989,0.195,-0.128
1727343739607,2024-09-26T12.42.19.607,0.361,0.984,0.192,-0.145
1727343739627,2024-09-26T12.42.19.627,0.381,0.965,0.195,-0.125
1727343739648,2024-09-26T12.42.19.648,0.402,0.966,0.211,-0.104
1727343739667,2024-09-26T12.42.19.667,0.421,0.952,0.195,-0.098
1727343739687,2024-09-26T12.42.19.687,0.441,0.951,0.168,-0.132
1727343739708,2024-09-26T12.42.19.708,0.462,0.947,0.183,-0.142
1727343739727,2024-09-26T12.42.19.727,0.481,0.929,0.198,-0.103
1727343739747,2024-09-26T12.42.19.747,0.501,0.951,0.196,-0.086
1727343739768,2024-09-26T12.42.19.768,0.522,0.998,0.175,-0.109
1727343739787,2024-09-26T12.42.19.787,0.541,0.971,0.166,-0.127
1727343739807,2024-09-26T12.42.19.807,0.561,0.970,0.158,-0.146
1727343739828,2024-09-26T12.42.19.828,0.582,1.080,0.148,-0.158
1727343739847,2024-09-26T12.42.19.847,0.601,1.051,0.172,-0.063
1727343739868,2024-09-26T12.42.19.868,0.622,0.920,0.132,-0.082
1727343739888,2024-09-26T12.42.19.888,0.642,0.966,0.159,-0.123
1727343739907,2024-09-26T12.42.19.907,0.661,0.963,0.248,-0.129
1727343739928,2024-09-26T12.42.19.928,0.682,0.905,0.203,-0.149
1727343739948,2024-09-26T12.42.19.948,0.702,0.931,0.176,-0.159
1727343739969,2024-09-26T12.42.19.969,0.723,0.958,0.202,-0.169
1727343739988,2024-09-26T12.42.19.988,0.742,0.957,0.176,-0.165
1727343740008,2024-09-26T12.42.20.008,0.762,0.958,0.171,-0.137
1727343740029,2024-09-26T12.42.20.029,0.783,0.965,0.180,-0.095
1727343740048,2024-09-26T12.42.20.048,0.802,0.953,0.190,-0.090
1727343740068,2024-09-26T12.42.20.068,0.822,0.973,0.181,-0.120
1727343740089,2024-09-26T12.42.20.089,0.843,0.961,0.196,-0.130
1727343740108,2024-09-26T12.42.20.108,0.862,0.967,0.177,-0.109
1727343740128,2024-09-26T12.42.20.128,0.882,0.973,0.179,-0.095
1727343740149,2024-09-26T12.42.20.149,0.903,0.966,0.189,-0.091
1727343740168,2024-09-26T12.42.20.168,0.922,0.953,0.181,-0.116
1727343740188,2024-09-26T12.42.20.188,0.942,0.984,0.177,-0.141
1727343740209,2024-09-26T12.42.20.209,0.963,0.991,0.177,-0.145
1727343740228,2024-09-26T12.42.20.228,0.982,0.965,0.179,-0.129
1727343740248,2024-09-26T12.42.20.248,1.002,0.943,0.196,-0.119
1727343740269,2024-09-26T12.42.20.269,1.023,0.973,0.176,-0.100
1727343740289,2024-09-26T12.42.20.289,1.043,0.959,0.178,-0.097
1727343740308,2024-09-26T12.42.20.308,1.062,0.990,0.184,-0.105
1727343740329,2024-09-26T12.42.20.329,1.083,1.017,0.169,-0.111
1727343740349,2024-09-26T12.42.20.349,1.103,1.022,0.158,-0.131
1727343740368,2024-09-26T12.42.20.368,1.122,1.009,0.179,-0.129
1727343740389,2024-09-26T12.42.20.389,1.143,0.970,0.213,-0.120
1727343740409,2024-09-26T12.42.20.409,1.163,0.940,0.196,-0.140
1727343740429,2024-09-26T12.42.20.429,1.183,0.941,0.192,-0.142
1727343740449,2024-09-26T12.42.20.449,1.203,0.926,0.189,-0.136
1727343740470,2024-09-26T12.42.20.470,1.224,0.906,0.184,-0.146
1727343740489,2024-09-26T12.42.20.489,1.243,0.945,0.152,-0.139
1727343740509,2024-09-26T12.42.20.509,1.263,0.962,0.157,-0.095
1727343740530,2024-09-26T12.42.20.530,1.284,0.969,0.197,-0.058
