epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727343739226,2024-09-26T12.42.19.226,0.000,3.659,-4.817,-1.768
1727343739246,2024-09-26T12.42.19.246,0.020,3.293,-4.207,-0.793
1727343739265,2024-09-26T12.42.19.265,0.039,0.976,-0.915,-0.244
1727343739286,2024-09-26T12.42.19.286,0.060,-0.305,-1.402,-1.220
1727343739306,2024-09-26T12.42.19.306,0.080,0.488,-3.049,-2.622
1727343739326,2024-09-26T12.42.19.326,0.100,0.183,-1.402,-2.134
1727343739346,2024-09-26T12.42.19.346,0.120,0.732,2.744,-0.366
1727343739367,2024-09-26T12.42.19.367,0.141,2.195,3.293,0.366
1727343739387,2024-09-26T12.42.19.387,0.161,1.646,-1.280,0.488
1727343739406,2024-09-26T12.42.19.406,0.180,1.707,-4.146,2.134
1727343739427,2024-09-26T12.42.19.427,0.201,0.488,-5.305,4.573
1727343739447,2024-09-26T12.42.19.447,0.221,-0.549,-2.561,5.000
1727343739466,2024-09-26T12.42.19.466,0.240,-0.427,1.524,6.585
1727343739487,2024-09-26T12.42.19.487,0.261,-0.061,7.378,10.671
1727343739507,2024-09-26T12.42.19.507,0.281,-1.341,10.549,11.220
1727343739526,2024-09-26T12.42.19.526,0.300,-2.073,6.646,9.268
1727343739547,2024-09-26T12.42.19.547,0.321,0.488,2.927,6.098
1727343739567,2024-09-26T12.42.19.567,0.341,3.415,-0.915,3.415
1727343739586,2024-09-26T12.42.19.586,0.360,3.171,-5.244,2.439
1727343739607,2024-09-26T12.42.19.607,0.381,1.220,-7.012,2.744
1727343739627,2024-09-26T12.42.19.627,0.401,2.317,-10.549,2.683
1727343739648,2024-09-26T12.42.19.648,0.422,6.341,-8.720,0.915
1727343739667,2024-09-26T12.42.19.667,0.441,3.476,-1.829,1.037
1727343739687,2024-09-26T12.42.19.687,0.461,1.890,4.207,0.427
1727343739708,2024-09-26T12.42.19.708,0.482,5.976,2.988,3.476
1727343739727,2024-09-26T12.42.19.727,0.501,7.622,-3.232,5.732
1727343739747,2024-09-26T12.42.19.747,0.521,5.244,-7.256,6.341
1727343739768,2024-09-26T12.42.19.768,0.542,-0.610,-7.439,6.768
1727343739787,2024-09-26T12.42.19.787,0.561,-2.439,-5.183,5.427
1727343739807,2024-09-26T12.42.19.807,0.581,1.037,-5.976,3.415
1727343739828,2024-09-26T12.42.19.828,0.602,7.134,-10.427,1.951
1727343739847,2024-09-26T12.42.19.847,0.621,12.927,-10.427,1.951
1727343739868,2024-09-26T12.42.19.868,0.642,10.000,6.098,-2.256
1727343739888,2024-09-26T12.42.19.888,0.662,10.671,6.646,-3.963
1727343739907,2024-09-26T12.42.19.907,0.681,10.549,3.537,-4.024
1727343739928,2024-09-26T12.42.19.928,0.702,1.890,3.537,-7.683
1727343739948,2024-09-26T12.42.19.948,0.722,0.732,5.244,-6.585
1727343739969,2024-09-26T12.42.19.969,0.743,2.561,5.976,-5.061
1727343739988,2024-09-26T12.42.19.988,0.762,-0.183,0.305,-1.707
1727343740008,2024-09-26T12.42.20.008,0.782,0.549,-3.232,1.463
1727343740029,2024-09-26T12.42.20.029,0.803,2.622,-0.732,1.098
1727343740048,2024-09-26T12.42.20.048,0.822,2.134,2.439,-1.463
1727343740068,2024-09-26T12.42.20.068,0.842,-2.500,-0.610,-0.122
1727343740089,2024-09-26T12.42.20.089,0.863,-2.012,-2.378,-0.183
1727343740108,2024-09-26T12.42.20.108,0.882,-1.524,-0.976,0.793
1727343740128,2024-09-26T12.42.20.128,0.902,0.183,1.646,1.463
1727343740149,2024-09-26T12.42.20.149,0.923,1.524,2.134,-0.732
1727343740168,2024-09-26T12.42.20.168,0.942,0.061,-1.829,-2.622
1727343740188,2024-09-26T12.42.20.188,0.962,-1.280,-4.207,-1.585
1727343740209,2024-09-26T12.42.20.209,0.983,-0.732,-3.171,0.366
1727343740229,2024-09-26T12.42.20.229,1.003,-0.122,-2.195,1.768
1727343740248,2024-09-26T12.42.20.248,1.022,-0.244,-0.549,0.183
1727343740269,2024-09-26T12.42.20.269,1.043,-2.744,-0.671,-0.366
1727343740289,2024-09-26T12.42.20.289,1.063,-1.159,-1.220,2.561
1727343740308,2024-09-26T12.42.20.308,1.082,0.610,0.793,5.244
1727343740329,2024-09-26T12.42.20.329,1.103,-1.402,5.122,5.122
1727343740349,2024-09-26T12.42.20.349,1.123,-1.037,9.329,0.427
1727343740368,2024-09-26T12.42.20.368,1.142,3.049,13.537,-2.866
1727343740389,2024-09-26T12.42.20.389,1.163,3.049,14.207,-4.756
1727343740409,2024-09-26T12.42.20.409,1.183,-2.317,9.695,-3.902
1727343740429,2024-09-26T12.42.20.429,1.203,-7.073,-0.549,-2.317
1727343740449,2024-09-26T12.42.20.449,1.223,-9.756,-7.073,-2.439
1727343740470,2024-09-26T12.42.20.470,1.244,-10.244,-6.951,-3.720
1727343740490,2024-09-26T12.42.20.490,1.264,-6.585,-9.939,-2.805
1727343740509,2024-09-26T12.42.20.509,1.283,-4.939,-12.073,1.463
1727343740530,2024-09-26T12.42.20.530,1.304,-1.280,-6.037,3.293
1727343740550,2024-09-26T12.42.20.550,1.324,0.732,1.037,3.902
1727343740569,2024-09-26T12.42.20.569,1.343,1.524,4.024,5.000
1727343740590,2024-09-26T12.42.20.590,1.364,3.110,6.585,1.890
1727343740610,2024-09-26T12.42.20.610,1.384,2.988,5.549,2.500
1727343740629,2024-09-26T12.42.20.629,1.403,-0.488,6.829,3.232
1727343740650,2024-09-26T12.42.20.650,1.424,-1.585,8.963,-0.122
1727343740670,2024-09-26T12.42.20.670,1.444,-0.427,4.756,-5.427
1727343740689,2024-09-26T12.42.20.689,1.463,-1.707,0.305,-7.805
1727343740710,2024-09-26T12.42.20.710,1.484,-1.220,-5.549,-4.756
1727343740730,2024-09-26T12.42.20.730,1.504,-1.890,-11.159,-1.768
1727343740749,2024-09-26T12.42.20.749,1.523,-3.720,-11.707,1.829
1727343740770,2024-09-26T12.42.20.770,1.544,-5.183,-8.293,6.159
1727343740790,2024-09-26T12.42.20.790,1.564,-4.451,-2.195,7.561
1727343740811,2024-09-26T12.42.20.811,1.585,-4.329,4.634,8.415
1727343740830,2024-09-26T12.42.20.830,1.604,-3.354,8.720,10.976
1727343740850,2024-09-26T12.42.20.850,1.624,0.000,6.707,8.476
1727343740871,2024-09-26T12.42.20.871,1.645,3.232,-1.402,5.610
1727343740890,2024-09-26T12.42.20.890,1.664,3.232,-6.098,2.012
1727343740910,2024-09-26T12.42.20.910,1.684,3.537,-6.524,-0.854
1727343740931,2024-09-26T12.42.20.931,1.705,4.939,-3.963,-2.256
1727343740950,2024-09-26T12.42.20.950,1.724,1.829,-4.695,-2.866
1727343740971,2024-09-26T12.42.20.971,1.745,-2.561,-11.768,-2.683
1727343740991,2024-09-26T12.42.20.991,1.765,-0.793,-17.744,-4.146
1727343771661,2024-09-26T12.42.51.661,32.435,55.854,4.512,24.451
1727343771681,2024-09-26T12.42.51.681,32.455,53.659,4.512,22.561
1727343771701,2024-09-26T12.42.51.701,32.475,39.878,21.768,15.000
1727343771721,2024-09-26T12.42.51.721,32.495,21.951,43.902,19.329
1727343771741,2024-09-26T12.42.51.741,32.515,5.549,29.817,40.488
1727343771761,2024-09-26T12.42.51.761,32.535,-10.427,21.890,64.817
1727343771781,2024-09-26T12.42.51.781,32.555,-30.976,25.000,87.744
1727343771801,2024-09-26T12.42.51.801,32.575,-43.049,22.561,101.890
1727343771821,2024-09-26T12.42.51.821,32.595,-43.354,18.963,105.061
1727343771841,2024-09-26T12.42.51.841,32.615,-23.232,13.659,75.244
1727343771861,2024-09-26T12.42.51.861,32.635,-3.720,0.976,46.768
1727343771881,2024-09-26T12.42.51.881,32.655,-15.122,12.500,71.646
1727343771901,2024-09-26T12.42.51.901,32.675,-37.744,38.171,95.366
1727343771921,2024-09-26T12.42.51.921,32.695,-53.902,30.183,98.780
1727343771941,2024-09-26T12.42.51.941,32.715,-48.841,13.354,87.012
1727343771961,2024-09-26T12.42.51.961,32.735,-35.122,15.000,69.268
1727343771981,2024-09-26T12.42.51.981,32.755,-55.366,13.415,73.963
1727343772001,2024-09-26T12.42.52.001,32.775,-106.037,22.622,95.183
1727343772021,2024-09-26T12.42.52.021,32.795,-121.707,29.512,96.220
1727343772041,2024-09-26T12.42.52.041,32.815,-96.280,25.488,70.061
1727343772061,2024-09-26T12.42.52.061,32.835,-98.049,7.073,50.793
1727343772081,2024-09-26T12.42.52.081,32.855,-118.232,6.646,47.134
1727343772101,2024-09-26T12.42.52.101,32.875,-127.439,24.512,40.366
1727343772121,2024-09-26T12.42.52.121,32.895,-111.585,19.146,18.659
1727343772141,2024-09-26T12.42.52.141,32.915,-91.646,-10.305,-11.159
1727343772161,2024-09-26T12.42.52.161,32.935,-104.207,-58.415,-42.012
1727343772181,2024-09-26T12.42.52.181,32.955,-138.963,-106.037,-84.512
1727343772201,2024-09-26T12.42.52.201,32.975,-148.476,-153.415,-126.707
1727343772221,2024-09-26T12.42.52.221,32.995,-124.146,-155.732,-146.951
1727343772241,2024-09-26T12.42.52.241,33.015,-89.146,-97.683,-167.439
1727343772261,2024-09-26T12.42.52.261,33.035,-69.268,-78.110,-183.720
1727343772281,2024-09-26T12.42.52.281,33.055,-61.463,-81.341,-218.780
1727343772301,2024-09-26T12.42.52.301,33.075,-63.659,-69.085,-259.939
1727343772321,2024-09-26T12.42.52.321,33.095,1.585,-36.768,-238.598
1727343772341,2024-09-26T12.42.52.341,33.115,42.073,63.537,-215.915
1727343772361,2024-09-26T12.42.52.361,33.135,6.280,91.890,-163.171
1727343772381,2024-09-26T12.42.52.381,33.155,22.073,44.146,-127.927
1727343772401,2024-09-26T12.42.52.401,33.175,91.159,21.098,-115.183
1727343772421,2024-09-26T12.42.52.421,33.195,114.695,27.500,-92.744
1727343772441,2024-09-26T12.42.52.441,33.215,79.939,71.707,-61.037
1727343772461,2024-09-26T12.42.52.461,33.235,75.610,124.329,-27.012
1727343772481,2024-09-26T12.42.52.481,33.255,134.939,112.988,-32.195
1727343772501,2024-09-26T12.42.52.501,33.275,143.659,22.012,-26.829
1727343772521,2024-09-26T12.42.52.521,33.295,72.683,10.976,-9.573
1727343772541,2024-09-26T12.42.52.541,33.315,65.854,124.207,16.707
1727343772561,2024-09-26T12.42.52.561,33.335,104.451,144.756,16.951
1727343772581,2024-09-26T12.42.52.581,33.355,118.720,26.463,12.744
1727343772601,2024-09-26T12.42.52.601,33.375,73.720,-13.232,17.744
1727343772621,2024-09-26T12.42.52.621,33.395,60.183,115.000,22.744
1727343772641,2024-09-26T12.42.52.641,33.415,77.073,139.878,20.854
1727343772661,2024-09-26T12.42.52.661,33.435,116.280,30.488,38.780
