epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1727343843091,2024-09-26T12.44.03.091,0.000,90.976,5.000,-34.207
1727343843111,2024-09-26T12.44.03.111,0.020,83.598,6.768,-37.012
1727343843131,2024-09-26T12.44.03.131,0.040,50.000,-7.317,-51.341
1727343843151,2024-09-26T12.44.03.151,0.060,41.585,-69.085,-79.085
1727343843171,2024-09-26T12.44.03.171,0.080,94.512,-89.329,-73.841
1727343843191,2024-09-26T12.44.03.191,0.100,110.915,-24.878,-76.280
1727343843211,2024-09-26T12.44.03.211,0.120,38.354,-76.768,-61.646
1727343843231,2024-09-26T12.44.03.231,0.140,22.378,-172.256,-65.488
1727343843251,2024-09-26T12.44.03.251,0.160,52.439,-230.854,-80.366
1727343843271,2024-09-26T12.44.03.271,0.180,59.146,-179.085,-81.098
1727343843291,2024-09-26T12.44.03.291,0.200,20.061,-76.463,-70.366
1727343843311,2024-09-26T12.44.03.311,0.220,-28.171,-34.573,-61.646
1727343843331,2024-09-26T12.44.03.331,0.240,-36.951,-65.488,-56.768
1727343843351,2024-09-26T12.44.03.351,0.260,-15.915,-65.976,-52.805
1727343843371,2024-09-26T12.44.03.371,0.280,-15.183,-14.573,-30.671
1727343843391,2024-09-26T12.44.03.391,0.300,-32.561,21.341,-2.317
1727343843411,2024-09-26T12.44.03.411,0.320,-30.610,5.183,2.866
1727343843431,2024-09-26T12.44.03.431,0.340,-5.976,-13.476,-10.549
1727343843451,2024-09-26T12.44.03.451,0.360,4.268,-20.122,-1.646
1727343843471,2024-09-26T12.44.03.471,0.380,-6.402,-3.902,8.598
1727343843491,2024-09-26T12.44.03.491,0.400,-12.866,3.720,9.024
1727343843511,2024-09-26T12.44.03.511,0.420,2.500,-6.341,0.244
1727343843531,2024-09-26T12.44.03.531,0.440,13.780,-22.744,-1.585
1727343843551,2024-09-26T12.44.03.551,0.460,7.378,-14.939,6.341
1727343843571,2024-09-26T12.44.03.571,0.480,-3.110,10.183,8.171
1727343843591,2024-09-26T12.44.03.591,0.500,-1.585,8.780,4.756
1727343843611,2024-09-26T12.44.03.611,0.520,9.207,-10.854,0.976
1727343843631,2024-09-26T12.44.03.631,0.540,8.293,-22.256,5.244
1727343843651,2024-09-26T12.44.03.651,0.560,-2.012,-13.232,6.768
